Company Code,Internal ID,SubTran ID,Document No.,Year,Line Item,Period,Posting Period,Document Date,Local Currency Code,Local Amount (Debit),Local Amount (Credit),Document Currency Code,Document Amount (Debit),Document Amount (Credit),GL Account Number,GL Account Name,Entity Name,Tax Registration Number,Department,Class,Location,Journal Description,Transaction Type,Creator
United Kingdom,625,1,0126,2015,1,8,Aug 2015,8/13/2015,GBP,200000,0,GBP,200000,0,1200,1200 Accounts Receivable,Davis Supplies,GB,,,99 Elimination,0126,CustInvc,Larry Nelson
United Kingdom,625,1,0126,2015,2,8,Aug 2015,8/13/2015,GBP,0,200000,GBP,0,200000,4001,4001 Revenue : Services Revenue,Davis Supplies,GB,,,99 Elimination,Our Chicken Feet are steamed to perfection and served with a traditional plum sauce. ,CustInvc,Larry Nelson
United Kingdom,625,1,0126,2015,6,8,Aug 2015,8/13/2015,GBP,0,0,GBP,0,0,5055,5055 VAT on Sales,HM Revenue & Customs : HM Customs & Excise 4,,,,99 Elimination,VAT,CustInvc,Larry Nelson
United Kingdom,626,2,0127,2015,1,7,Jul 2015,7/13/2015,GBP,150000,0,GBP,150000,0,1200,1200 Accounts Receivable,Davis Supplies,GB,,,05 UK Warehouse,0127,CustInvc,Larry Nelson
United Kingdom,626,2,0127,2015,2,7,Jul 2015,7/13/2015,GBP,0,150000,GBP,0,150000,4001,4001 Revenue : Services Revenue,Davis Supplies,GB,,,05 UK Warehouse,Our Chicken Feet are steamed to perfection and served with a traditional plum sauce. ,CustInvc,Larry Nelson
United Kingdom,626,2,0127,2015,7,7,Jul 2015,7/13/2015,GBP,0,0,GBP,0,0,5055,5055 VAT on Sales,HM Revenue & Customs : HM Customs & Excise 4,,,,05 UK Warehouse,VAT,CustInvc,Larry Nelson
United Kingdom,680,3,30,2015,1,8,Aug 2015,8/14/2015,GBP,190000,0,GBP,190000,0,1001,1001 UK Operating Account,Davis Supplies,GB,,,,30,CustPymt,Larry Nelson
United Kingdom,680,3,30,2015,2,8,Aug 2015,8/14/2015,GBP,0,190000,GBP,0,190000,1200,1200 Accounts Receivable,Davis Supplies,GB,,,,30,CustPymt,Larry Nelson
United Kingdom,689,4,27,2015,1,8,Aug 2015,8/6/2015,GBP,0,2125,GBP,0,2125,2000,2000 Accounts Payable,United Kingdom,,,,,27,ExpRept,Larry Nelson
United Kingdom,689,4,27,2015,2,8,Aug 2015,8/6/2015,GBP,1900,0,GBP,1900,0,6300,6300 General and Administrative : Travel Expenses,,,,,,Hotel,ExpRept,Larry Nelson
United Kingdom,689,4,27,2015,3,8,Aug 2015,8/6/2015,GBP,210,0,GBP,210,0,6352,6352 General and Administrative : Travel Expenses : Travel Expense : Meals & Entertainment,,,,,,Meals & Entertainment,ExpRept,Larry Nelson
United Kingdom,689,4,27,2015,4,8,Aug 2015,8/6/2015,GBP,15,0,GBP,15,0,6890,6890 General and Administrative : Other Expense : Miscellaneous Expense,,,,,,Parking,ExpRept,Larry Nelson
United Kingdom,689,4,27,2015,5,8,Aug 2015,8/6/2015,GBP,0,0,GBP,0,0,1963,1963 VAT on Purchases,HM Revenue & Customs : HM Customs & Excise 4,,,,,VAT,ExpRept,Larry Nelson
United Kingdom,695,5,,2015,1,7,Jul 2015,7/31/2015,GBP,0,12000,GBP,0,12000,2000,2000 Accounts Payable,Debian Inc,,,,,Bill ID # 695,VendBill,Larry Nelson
United Kingdom,695,5,,2015,2,7,Jul 2015,7/31/2015,GBP,12000,0,GBP,12000,0,1303,1303 Leasehold Improvements,,,,,,Bill ID # 695,VendBill,Larry Nelson
United Kingdom,695,5,,2015,4,7,Jul 2015,7/31/2015,GBP,0,0,GBP,0,0,1963,1963 VAT on Purchases,HM Revenue & Customs : HM Customs & Excise 4,,,,,VAT,VendBill,Larry Nelson
United Kingdom,700,6,34,2015,1,7,Jul 2015,7/31/2015,GBP,2700,0,GBP,2700,0,6680,6680 General and Administrative : Depr & Amort : Depreciation Expense,,,,,,34,Journal,Larry Nelson
United Kingdom,700,6,34,2015,2,7,Jul 2015,7/31/2015,GBP,0,2700,GBP,0,2700,1353,1353 A/D Leasehold Improvements,,,,,,34,Journal,Larry Nelson
