Mapping Category,Mapping Value,Standard Account ID,Account Description,Mapping Key
NO-SAFT: 4 Digit Standard Accounts,1,1000,"Forskning og utvikling, ervervet",
NO-SAFT: 4 Digit Standard Accounts,2,1005,"Forskning og utvikling, egenutviklet",
NO-SAFT: 4 Digit Standard Accounts,3,1020,"Konsesjoner, ervervet",
NO-SAFT: 4 Digit Standard Accounts,4,1025,"Konsesjoner, egenutviklet",
NO-SAFT: 4 Digit Standard Accounts,5,1030,"Patenter, ervervet",
NO-SAFT: 4 Digit Standard Accounts,6,1035,"Patenter, egenutviklet",
NO-SAFT: 4 Digit Standard Accounts,7,1040,"Lisenser, ervervet",
NO-SAFT: 4 Digit Standard Accounts,8,1045,"Lisenser, egenutviklet",
NO-SAFT: 4 Digit Standard Accounts,9,1050,"Varemerker, ervervet",
NO-SAFT: 4 Digit Standard Accounts,10,1055,"Varemerker, egenutviklet",
NO-SAFT: 4 Digit Standard Accounts,11,1060,"Andre rettigheter, ervervet",
NO-SAFT: 4 Digit Standard Accounts,12,1065,"Andre rettigheter, egenutviklet",
NO-SAFT: 4 Digit Standard Accounts,13,1068,"Innenlands kjøp av rettigheter, omvendt avgiftsplikt",
NO-SAFT: 4 Digit Standard Accounts,14,1069,"Innenlands kjøp av rettigheter, omvendt avgiftsplikt, motkonto",
NO-SAFT: 4 Digit Standard Accounts,15,1070,"Utsatt skattefordel, brutto",
NO-SAFT: 4 Digit Standard Accounts,16,1075,Reduksjon utsatt skattefordel pga manglende realiserbarhet,
NO-SAFT: 4 Digit Standard Accounts,17,1079,Utlignbar utsatt skattefordel,
NO-SAFT: 4 Digit Standard Accounts,18,1080,Goodwill,
NO-SAFT: 4 Digit Standard Accounts,19,1100,Bygninger,
NO-SAFT: 4 Digit Standard Accounts,20,1110,Fast teknisk installasjon i bygning,
NO-SAFT: 4 Digit Standard Accounts,21,1120,Bygningsmessige anlegg,
NO-SAFT: 4 Digit Standard Accounts,22,1130,Anlegg under utførelse,
NO-SAFT: 4 Digit Standard Accounts,23,1140,Jordbrukseiendommer,
NO-SAFT: 4 Digit Standard Accounts,24,1145,Skogbrukseiendommer,
NO-SAFT: 4 Digit Standard Accounts,25,1150,Tomter,
NO-SAFT: 4 Digit Standard Accounts,26,1155,Andre grunnarealer,
NO-SAFT: 4 Digit Standard Accounts,27,1160,Boliger inklusive tomter,
NO-SAFT: 4 Digit Standard Accounts,28,1180,Investeringseiendommer,
NO-SAFT: 4 Digit Standard Accounts,29,1190,"Grunnlag MVA innførsel av varer, høy sats",
NO-SAFT: 4 Digit Standard Accounts,30,1191,"Grunnlag MVA innførsel av varer, høy sats, motkonto",
NO-SAFT: 4 Digit Standard Accounts,31,1192,"Grunnlag MVA innførsel av varer, middels sats",
NO-SAFT: 4 Digit Standard Accounts,32,1193,"Grunnlag MVA innførsel av varer, middels sats, motkonto",
NO-SAFT: 4 Digit Standard Accounts,33,1194,Grunnlag innførsel av varer med null sats,
NO-SAFT: 4 Digit Standard Accounts,34,1195,"Grunnlag innførsel av varer med  null sats, motkonto",
NO-SAFT: 4 Digit Standard Accounts,35,1196,Grunnlag utgående MVA kjøp tjenester fra utlandet,
NO-SAFT: 4 Digit Standard Accounts,36,1197,"Grunnlag utgående MVA kjøp tjenester fra utlandet, motkonto",
NO-SAFT: 4 Digit Standard Accounts,37,1200,Maskiner og anlegg,
NO-SAFT: 4 Digit Standard Accounts,38,1210,Maskiner og anlegg under utførelse,
NO-SAFT: 4 Digit Standard Accounts,39,1220,Skip,
NO-SAFT: 4 Digit Standard Accounts,40,1224,Rigger,
NO-SAFT: 4 Digit Standard Accounts,41,1225,Fly,
NO-SAFT: 4 Digit Standard Accounts,42,1230,Personbiler/stasjonsvogner,
NO-SAFT: 4 Digit Standard Accounts,43,1235,"Varebiler, klasse 1",
NO-SAFT: 4 Digit Standard Accounts,44,1236,"Varebiler, klasse 2",
NO-SAFT: 4 Digit Standard Accounts,45,1237,Lastebiler,
NO-SAFT: 4 Digit Standard Accounts,46,1238,Busser,
NO-SAFT: 4 Digit Standard Accounts,47,1239,Varebiler med nullutslipp,
NO-SAFT: 4 Digit Standard Accounts,48,1240,Traktorer,
NO-SAFT: 4 Digit Standard Accounts,49,1242,Trucker,
NO-SAFT: 4 Digit Standard Accounts,50,1249,Andre transportmidler,
NO-SAFT: 4 Digit Standard Accounts,51,1250,Inventar,
NO-SAFT: 4 Digit Standard Accounts,52,1260,"Fast bygningsinventar, eget bygg",
NO-SAFT: 4 Digit Standard Accounts,53,1265,"Fast bygningsinventar, leide lokaler",
NO-SAFT: 4 Digit Standard Accounts,54,1290,"Grunnlag MVA innførsel av varer, høy sats",
NO-SAFT: 4 Digit Standard Accounts,55,1291,"Grunnlag MVA innførsel av varer, høy sats, motkonto",
NO-SAFT: 4 Digit Standard Accounts,56,1292,"Grunnlag MVA innførsel av varer, middels sats",
NO-SAFT: 4 Digit Standard Accounts,57,1293,"Grunnlag MVA innførsel av varer, middels sats, motkonto",
NO-SAFT: 4 Digit Standard Accounts,58,1294,Grunnlag innførsel av varer med null sats,
NO-SAFT: 4 Digit Standard Accounts,59,1295,"Grunnlag innførsel av varer med null sats, motkonto",
NO-SAFT: 4 Digit Standard Accounts,60,1296,Grunnlag utgående MVA kjøp tjenester fra utlandet,
NO-SAFT: 4 Digit Standard Accounts,61,1297,"Grunnlag utgående MVA kjøp tjenester fra utlandet, motkonto",
NO-SAFT: 4 Digit Standard Accounts,62,1300,Aksjer i datterselskap,
NO-SAFT: 4 Digit Standard Accounts,63,1305,Andeler i datterselskap,
NO-SAFT: 4 Digit Standard Accounts,64,1306,"Aksjer/andeler i datterselskap, utenlandske, innenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,65,1308,"Aksjer/andeler i datterselskap, utenlandske, utenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,66,1310,Aksjer i foretak i samme konsern,
NO-SAFT: 4 Digit Standard Accounts,67,1315,Andeler i foretak i samme konsern,
NO-SAFT: 4 Digit Standard Accounts,68,1316,"Aksjer/andeler i foretak i samme konsern, utenlandske, innenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,69,1318,"Aksjer/andeler i foretak i samme konsern, utenlandske, utenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,70,1320,Lån til datterselskaper,
NO-SAFT: 4 Digit Standard Accounts,71,1325,Lån til andre foretak i samme konsern,
NO-SAFT: 4 Digit Standard Accounts,72,1330,Investeringer i tilknyttet selskap,
