Mapping Category,Standard Tax Codes Value,Standard Tax Codes ID,Standard Tax Codes Description,Standard Tax Codes Key,Subsidiary
NO-SAFT: Standard Tax Codes,1,0,Ingen merverdiavgiftsbehandling (anskaffelser),,
NO-SAFT: Standard Tax Codes,2,1,Fradragsberettiget innenlands inngående merverdiavgift - Alminnelig Sats,,
NO-SAFT: Standard Tax Codes,3,11,"Fradragsberettiget innenlands inngående merverdiavgift - Redusert Sats, Middels",,
NO-SAFT: Standard Tax Codes,4,12,"Fradragsberettiget innenlands inngående merverdiavgift - Redusert Sats, Råfisk",,
NO-SAFT: Standard Tax Codes,5,13,"Fradragsberettiget innenlands inngående merverdiavgift - Redusert Sats, Lav",,
NO-SAFT: Standard Tax Codes,6,14,Fradragsberettiget innførselsmerverdiavgift - Alminnelig Sats,,
NO-SAFT: Standard Tax Codes,7,15,"Fradragsberettiget innførselsmerverdiavgift - Redusert Sats, Middels",,
NO-SAFT: Standard Tax Codes,8,20,"Kostnad ved innførsel av varer, ingen merverdiavgiftsbehandling",,
NO-SAFT: Standard Tax Codes,9,21,Kostnad ved innførsel av varer - Alminnelig Sats,,
NO-SAFT: Standard Tax Codes,10,22,"Kostnad ved innførsel av varer - Redusert Sats, Middels",,
NO-SAFT: Standard Tax Codes,11,3,Utgående merverdiavgift - Alminnelig Sats,,
NO-SAFT: Standard Tax Codes,12,31,"Utgående merverdiavgift - Redusert Sats, Middels",,
NO-SAFT: Standard Tax Codes,13,32,"Utgående merverdiavgift - Redusert Sats, Råfisk",,
NO-SAFT: Standard Tax Codes,14,33,"Utgående merverdiavgift - Redusert Sats, Lav",,
NO-SAFT: Standard Tax Codes,15,5,Innenlands omsetning og uttak fritatt for merverdiavgift - Nullsats,,
NO-SAFT: Standard Tax Codes,16,51,Innenlandsk omsetning med omvendt avgiftplikt - Nullsats,,
NO-SAFT: Standard Tax Codes,17,52,Utførsel av varer og tjenester - Nullsats,,
NO-SAFT: Standard Tax Codes,18,6,Omsetning utenfor merverdiavgiftsloven,,
NO-SAFT: Standard Tax Codes,19,7,Ingen merverdiavgiftsbehandling (inntekter),,
NO-SAFT: Standard Tax Codes,20,81,Grunnlag innførsel av varer med fradragsrett for innførselsmerverdiavgift - Alminnelig Sats,,
NO-SAFT: Standard Tax Codes,21,82,Grunnlag innførsel av varer uten fradragsrett for innførselsmerverdiavgift - Alminnelig Sats,,
NO-SAFT: Standard Tax Codes,22,83,"Grunnlag innførsel av varer med fradragsrett for innførselsmerverdiavgift - Redusert Sats, Middels",,
NO-SAFT: Standard Tax Codes,23,84,"Grunnlag innførsel av varer uten fradragsrett for innførselsmerverdiavgift - Redusert Sats, Middels",,
NO-SAFT: Standard Tax Codes,24,85,Grunnlag innførsel av varer som det ikke skal beregnes merverdiavgift av - Nullsats,,
NO-SAFT: Standard Tax Codes,25,86,Tjenester kjøpt fra utlandet med fradragsrett for merverdiavgift - Alminnelig Sats,,
NO-SAFT: Standard Tax Codes,26,87,Tjenester kjøpt fra utlandet uten fradragsrett for merverdiavgift - Alminnelig Sats,,
NO-SAFT: Standard Tax Codes,27,88,"Tjenester kjøpt fra utlandet med fradragsrett for merverdiavgift - Redusert Sats, Lav",,
NO-SAFT: Standard Tax Codes,28,89,"Tjenester kjøpt fra utlandet uten fradragsrett for merverdiavgift - Redusert Sats, Lav",,
NO-SAFT: Standard Tax Codes,29,91,Kjøp av klimakvoter eller gull med fradragsrett for merverdiavgift - Alminnelig Sats,,
NO-SAFT: Standard Tax Codes,30,92,Kjøp av klimakvoter eller gull uten fradragsrett for merverdiavgift - Alminnelig Sats,,
