Mapping Category,Mapping Value,Taxonomy Code
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Caixa,1
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Depósitos à ordem,2
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Outros depósitos bancários,3
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Outros,4
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Clientes - Clientes c/c,5
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Clientes - Clientes — títulos a receber,6
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Clientes - Outros Clientes,7
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Clientes - Adiantamentos de clientes,8
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Clientes - Perdas por imparidade acumuladas - Clientes c/c,9
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Clientes - Perdas por imparidade acumuladas - Clientes — títulos a receber,10
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Clientes - Perdas por imparidade acumuladas - Outros Clientes,11
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Fornecedores - Fornecedores c/c,12
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Fornecedores - Fornecedores — títulos a pagar,13
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Fornecedores - Outros fornecedores,14
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Fornecedores - Faturas em receção e conferência,15
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Fornecedores - Adiantamentos a fornecedores,16
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Fornecedores - Perdas por imparidade acumuladas,17
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Pessoal - Remunerações a pagar - Aos órgãos sociais,18
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Pessoal - Remunerações a pagar - Ao pessoal,19
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Pessoal - Adiantamentos - Aos órgãos sociais,20
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Pessoal - Adiantamentos - Ao pessoal,21
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Pessoal - Outras operações - Com os órgãos sociais - (CORRENTE),22
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Pessoal - Outras operações - Com os órgãos sociais - (NÃO CORRENTE),23
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Pessoal - Outras operações - Com o pessoal - (CORRENTE),24
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Pessoal - Outras operações - Com o pessoal - (NÃO CORRENTE),25
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Pessoal - Perdas por imparidade acumuladas - Adiantamentos - Aos órgãos sociais,26
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Pessoal - Perdas por imparidade acumuladas - Adiantamentos - Ao pessoal,27
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Pessoal - Perdas por imparidade acumuladas - Outras operações - Aos órgãos sociais (CORRENTE),28
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Pessoal - Perdas por imparidade acumuladas - Outras operações - Aos órgãos sociais (NÃO CORRENTE),29
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Pessoal - Perdas por imparidade acumuladas - Outras operações - Ao pessoal (CORRENTE),30
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Pessoal - Perdas por imparidade acumuladas - Outras operações - Ao pessoal (NÃO CORRENTE),31
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Estado e outros entes públicos - Imposto sobre o rendimento,32
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Estado e outros entes públicos - Retenção de impostos sobre rendimentos,33
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Suportado,34
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Dedutível,35
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Liquidado,36
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Regularizações,37
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Apuramento,38
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — A pagar,39
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — A recuperar,40
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Reembolsos pedidos,41
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Liquidações oficiosas,42
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Estado e outros entes públicos - Outros impostos,43
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Estado e outros entes públicos - Contribuições para a Segurança Social,44
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Estado e outros entes públicos - Tributos das autarquias locais,45
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Estado e outros entes públicos - Outras tributações,46
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Financiamentos obtidos - Instituições de crédito e sociedades financeiras - Empréstimos bancários - (CORRENTE),47
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Financiamentos obtidos - Instituições de crédito e sociedades financeiras - Empréstimos bancários - (NÃO CORRENTE),48
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Financiamentos obtidos - Instituições de crédito e sociedades financeiras - Descobertos bancários - (CORRENTE),49
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Financiamentos obtidos - Instituições de crédito e sociedades financeiras - Descobertos bancários - (NÃO CORRENTE),50
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Financiamentos obtidos - Instituições de crédito e sociedades financeiras - Locações financeiras - (CORRENTE),51
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Financiamentos obtidos - Instituições de crédito e sociedades financeiras - Locações financeiras - (NÃO CORRENTE),52
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Financiamentos obtidos - Instituições de crédito e sociedades financeiras - Outros financiamentos - (CORRENTE),53
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Financiamentos obtidos - Instituições de crédito e sociedades financeiras - Outros financiamentos - (NÃO CORRENTE),54
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Financiamentos obtidos - Outros financiadores - (CORRENTE),55
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Financiamentos obtidos - Outros financiadores - (NÃO CORRENTE),56
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Acionistas/sócios - Quotas não liberadas,57
