Mapping Category,Mapping Value,Taxonomy Code
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Caixa,1
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Depósitos à ordem,2
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outros depósitos bancários,3
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outros instrumentos financeiros - Derivados - Potencialmente favoráveis,4
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outros instrumentos financeiros - Derivados - Potencialmente desfavoráveis,5
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outros instrumentos financeiros - Instrumentos financeiros detidos para negociação - Ativos financeiros,6
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outros instrumentos financeiros - Instrumentos financeiros detidos para negociação - Passivos financeiros,7
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outros instrumentos financeiros - Outros ativos e passivos financeiros - Outros ativos financeiros,8
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outros instrumentos financeiros - Outros ativos e passivos financeiros - Outros passivos financeiros,9
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Clientes c/c - Clientes gerais,10
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Clientes c/c - Clientes — empresa -mãe,11
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Clientes c/c - Clientes — empresas subsidiárias,12
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Clientes c/c - Clientes — empresas associadas,13
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Clientes c/c - Clientes — empreendimentos conjuntos,14
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Clientes c/c - Clientes — outras partes relacionadas,15
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Clientes — títulos a receber - Clientes gerais,16
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Clientes — títulos a receber - Clientes — empresa -mãe,17
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Clientes — títulos a receber - Clientes — empresas subsidiárias,18
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Clientes — títulos a receber - Clientes — empresas associadas,19
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Clientes — títulos a receber - Clientes — empreendimentos conjuntos,20
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Clientes — títulos a receber - Clientes — outras partes relacionadas,21
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Outros Clientes,22
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Adiantamentos de clientes,23
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Perdas por imparidade acumuladas - Clientes c/c - Clientes gerais,24
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Perdas por imparidade acumuladas - Clientes c/c - Clientes — empresa -mãe,25
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Perdas por imparidade acumuladas - Clientes c/c - Clientes — empresas subsidiárias,26
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Perdas por imparidade acumuladas - Clientes c/c - Clientes — empresas associadas,27
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Perdas por imparidade acumuladas - Clientes c/c - Clientes — empreendimentos conjuntos,28
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Perdas por imparidade acumuladas - Clientes c/c - Clientes — outras partes relacionadas,29
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Perdas por imparidade acumuladas - Clientes — títulos a receber - Clientes gerais,30
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Perdas por imparidade acumuladas - Clientes — títulos a receber - Clientes — empresa -mãe,31
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Perdas por imparidade acumuladas - Clientes — títulos a receber - Clientes — empresas subsidiárias,32
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Perdas por imparidade acumuladas - Clientes — títulos a receber - Clientes — empresas associadas,33
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Perdas por imparidade acumuladas - Clientes — títulos a receber - Clientes — empreendimentos conjuntos,34
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Perdas por imparidade acumuladas - Clientes — títulos a receber - Clientes — outras partes relacionadas,35
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Clientes - Perdas por imparidade acumuladas - Outros Clientes,36
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Fornecedores - Fornecedores c/c - Fornecedores gerais,37
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Fornecedores - Fornecedores c/c - Fornecedores — empresa -mãe,38
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Fornecedores - Fornecedores c/c - Fornecedores — empresas subsidiárias,39
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Fornecedores - Fornecedores c/c - Fornecedores — empresas associadas,40
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Fornecedores - Fornecedores c/c - Fornecedores — empreendimentos conjuntos,41
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Fornecedores - Fornecedores c/c - Fornecedores — outras partes relacionadas,42
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Fornecedores - Fornecedores — títulos a pagar - Fornecedores gerais,43
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Fornecedores - Fornecedores — títulos a pagar - Fornecedores — empresa -mãe,44
