Internal ID (internalid),Item Name/Number (itemid),Account (nonposting),Amortization Period (amortizationperiod),Amortization Template (amortizationtemplate),Apply Before Sales Tax (ispretax),Asset Account (assetaccount),Available to Adv. Partners (availabletopartners),Billing Schedule (billingschedule),COGS Account (cogsaccount),Calculate Quantity Discounts (overallquantitypricingtype),Can be Fulfilled/Received (isfulfillable),Class (class),Commodity Code (custitem_commodity_code),Commodity Code Validation (custpage_commoditycodelink),Copy from Sales Order (copydescription),Costing Method (costingmethod),Custom Form (customform),Customer Return Variance Account (custreturnvarianceaccount),Deferred Expense Account (deferralaccount),Department (department),Detailed Description (storedetaileddescription),Display Components on Transactions (printitems),Display Name/Code (displayname),Display in Web Store (isonline),Don't Show Price (dontshowprice),Drop Ship Item (isdropshipitem),Dropship Expense Account (dropshipexpenseaccount),Enforce Internally (enforceminqtyinternally),Exchange Rate Variance Account (billexchratevarianceacct),Exclude From Sitemap (excludefromsitemap),Expense Account (expenseaccount),Featured Description (featureddescription),Generate Accruals (generateaccruals),Handling Cost (handlingcost),Inactive (isinactive),Include Children (includechildren),Income Account (incomeaccount),Is a Rate Card (custitem9),Item Display Image (storedisplayimage),Item Display Thumbnail (storedisplaythumbnail),Item Drilldown Template (storeitemtemplate),Item Options (itemoptions),Item Weight (weight),Location (location),MPN (mpn),Manufacturer (manufacturer),Manufacturer Country (countryofmanufacture),Match Bill To Receipt (matchbilltoreceipt),Maximum Variable Amount (maxdonationamount),Meta Tag HTML (metataghtml),Minimum Quantity (minimumquantity),Nature of Transaction Codes (custitem_nature_of_transaction_codes),NexTag Category (nextagcategory),No Price Message (nopricemessage),Offer Support (offersupport),On Special (onspecial),Out Of Stock Behavior (outofstockbehavior),Out Of Stock Message (outofstockmessage),Package (shippackage),Page Title (pagetitle),Preferred Location (preferredlocation),Price Variance Account (billpricevarianceacct),Pricing Group (pricinggroup),Product (issueproduct),Product Feed (productfeed),Purchase Description (purchasedescription),Purchase Price (cost),Purchase Price Variance Account (purchasepricevarianceacct),Purchase Units (purchaseunit),Quantity Pricing Schedule (quantitypricingschedule),Quantity Variance Account (billqtyvarianceacct),Rate (rate),Reference Start/End Lines on Picking Tickets (includestartendlines),Related Items Description (relateditemsdescription),Reorder Multiple (reordermultiple),Replenishment Method (supplyreplenishmentmethod),Residual (residual),Sale Units (saleunit),Sales Description (salesdescription),Search Keywords (searchkeywords),Shipping Cost (shippingcost),Ships Individually (shipindividually),Shopping.com Category (shoppingdotcomcategory),Shopzilla Category ID (shopzillacategoryid),Show Default Amount (showdefaultdonationamount),Sitemap Priority (sitemappriority),Special Order Item (isspecialorderitem),Stock Description (stockdescription),Stock Units (stockunit),Subitem of (parent),Subsidiary (subsidiary),SuiteOffice -  Carousel HTML (custitem_wd_img_gallery_carousel_html),SuiteOffice - Badges (custitem_wd_badges),SuiteOffice - Image Gallery - image 2 (custitem_wd_image_gallery_2),SuiteOffice - Image Gallery - image 3 (custitem_wd_image_gallery_3),SuiteOffice - Image Gallery - image 4 (custitem_wd_image_gallery_4),SuiteOffice - Keywords Search (custitem_wd_cust_keywords),SuiteOffice - Process Items (custitem_wd_process_items),SuiteOffice - Refresh Badges (custitem_wd_badges_refresh),SuiteOffice - Refresh Image Gallery (custitem_wd_refresh_image_gallery),SuiteOffice - Refresh Related Items (custitem_wd_refresh_relateditem),SuiteOffice - Related Item HTML (custitem_wd_relateditem_html),SuiteOffice - Slider HTML (custitem_wd_img_gallery_slider_html),SuiteOffice - Wrap Badges HTML (custitem_wd_badges_html),Tax Schedule (taxschedule),Total Value (totalvalue),Transfer Price (transferprice),URL Component (urlcomponent),Use Marginal Rates (usemarginalrates),Variable Amount (isdonationitem),Vendor Bill - Item Receipt Amount Tolerance (receiptamount),Vendor Bill - Item Receipt Quantity Difference (receiptquantitydiff),Vendor Bill - Item Receipt Quantity Tolerance (receiptquantity),Vendor Bill - Purchase Order Amount Tolerance (purchaseorderamount),Vendor Bill - Purchase Order Quantity Difference (purchaseorderquantitydiff),Vendor Bill - Purchase Order Quantity Tolerance (purchaseorderquantity),Vendor Name/Code (vendorname),Web Store Description (storedescription),Web Store Display Name (storedisplayname)
50,10% Discount,F,,,F,,F,,,,,06-Support,,,,,Standard Discount Form,,,Customer Support,,,,,,,,,,,,,,,F,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00%,,,,,,,,,,,,,,,,,,,HEADQUARTERS : AMERICASHEADQUARTERS : ANZHEADQUARTERS : ASIAHEADQUARTERS : EMEA,,,,,,,,,,,,,,S2-Nontaxable,,,,,,,,,,,,,,
896,3rd Party Licence,,,,,,F,,,By Line Quantity,T,07-Administration,,<a href='#' onclick='manualCheckCommodityCode()'>Click this link to check Commodity Code</a>,F,,Dilley SRP Non-Inventory Part Form,,,Operations,,,3rd Party Licence,F,F,F,,T,,F,6370 General and Administrative : Advertising,,F,,F,T,4007 Revenue : Reports,,,,,,,,,,,,,,,,,,F,F,- Default -,,,,,,,,,,100,,Each,,,,,,,,,Each,,,,F,,,F,,F,,,,HEADQUARTERS : AMERICASHEADQUARTERS : ANZHEADQUARTERS : ASIAHEADQUARTERS : EMEA,,,,,,3rd Party Licence,F,F,F,F,,,,S2-Nontaxable,,,,F,F,,,,,,,,,
463,ADSL2  Modem Router,,,,,1412 Inventory Asset,F,,5100 COGS : Cost of Goods Sold,By Line Quantity,,,,<a href='#' onclick='manualCheckCommodityCode()'>Click this link to check Commodity Code</a>,F,AVG,Custom Inventory Part Form,,,,,,ADSL2+ Modem Router,F,F,F,,T,,F,,,,,F,T,4001 Revenue : Services Revenue,,,,,,,,,,,F,,,,,,,F,F,- Default -,,,,,,,,,ADSL2+ Modem Router,510,,,,,,,,,REORDER_POINT,,,,,,F,,,F,,F,,,,HEADQUARTERS : AMERICASHEADQUARTERS : ANZHEADQUARTERS : ASIAHEADQUARTERS : EMEA,,,,,,,F,F,F,F,,,,S1-Taxable,12675.7,,,F,F,,,,,,,,,
888,AV Installation Services,,,,,,F,,,,F,,,,,,Dilley SRP Non-Inventory Part Form,,,,<p>AV Installation Services for Video Conferencing Systems</p><p></p>,,AV Installation Services,T,F,,,T,,F,,,,,F,T,4001 Revenue : Services Revenue,F,AVINSTALL.media.service.01.jpg,AVINSTALL_thumb.jpg,,,,,,,,,,,,,,,F,F,Allow back orders but display out-of-stock message,,,AV Installation Services,,,,,,,,,,,,,,,,,,Each,AV Installation Services ,,,,,,F,,,,,,HEADQUARTERS : AMERICASHEADQUARTERS : ANZHEADQUARTERS : ASIAHEADQUARTERS : EMEA,"<div class=""item active easyzoom easyzoom--overlay"" data-slide-number=""0""><a href=""/core/media/media.nl?id=12098&c=TSTDRV1373481&h=b78a63f9bbcdd61a5e13""><img src=""/core/media/media.nl?id=12098&c=TSTDRV1373481&h=b78a63f9bbcdd61a5e13"" class=""img-responsive""></a></div>",,,,,AV Installation Services AV Installation Services <p>AV Installation Services for Video Conferencing Systems</p><p></p> null,T,F,F,F,,"<div class=""col-xs-2 thumbnail""><a id=""carousel-selector-0"" class=""selected""><img src=""/core/media/media.nl?id=12099&c=TSTDRV1373481&h=21779edb126f334fdc37""></a></div>",,S1-Taxable,,,AV-Installation-Services,,F,,,,,,,,<p>AV Installation Services for Video Conferencing Systems</p><p></p>,AV Installation Services
358,Administration,,,,,,F,,,,F,07-Administration,,,,,Dilley SRP Non-Inventory Part Form,,,Administration,,,Administration,F,F,,,T,,F,,,,,F,T,4001 Revenue : Services Revenue,F,,,,,,,,,,,,,,,,,F,F,- Default -,,,,,,,,,,,,,,,,,,,,,,Internal administration,,,,,,F,,,,,,HEADQUARTERS : AMERICASHEADQUARTERS : ANZHEADQUARTERS : ASIAHEADQUARTERS : EMEAHEADQUARTERS : Shared Services,,,,,,,F,F,F,F,,,,S1-Taxable,,,,,F,,,,,,,,,
403,Apple Ipad,,,,,1412 Inventory Asset,F,,5100 COGS : Cost of Goods Sold,By Line Quantity,,,98765432,<a href='#' onclick='manualCheckCommodityCode()'>Click this link to check Commodity Code</a>,F,AVG,Custom Inventory Part Form,,,,,,,F,F,F,,T,,F,,,,,F,T,4006 Revenue : Hardware,,,,,,,,,,,F,,,,,,,F,F,- Default -,,,,,,,,,,,,,,,,,,,REORDER_POINT,,,,,,F,,,F,,F,,,,HEADQUARTERS : AMERICASHEADQUARTERS : ANZHEADQUARTERS : ASIAHEADQUARTERS : EMEA,,,,,,Apple Ipad,F,F,F,F,,,,S1-Taxable,1920.34,,,F,F,,,,,,,,,
857,Array Cisco ACU7M Compat Twinaxial Cable,,,,,1412 Inventory Asset,F,,5100 COGS : Cost of Goods Sold,By Line Quantity,,01-Consulting,,<a href='#' onclick='manualCheckCommodityCode()'>Click this link to check Commodity Code</a>,F,AVG,Custom Inventory Part Form,,,Prof. Services,"<divundefined<div <div="""" style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><span class=""a14 b colorDG"">Main Features</span>	<p>	</p>					<li style=""list-style:disc;list-style-position:inside;padding-left: 14px;text-indent: -16px;"" class=""colorR"">				<span class=""a12 colorDG"">					Cable Type: Twinaxial				</span>			</li>					<li style=""list-style:disc;list-style-position:inside;padding-left: 14px;text-indent: -16px;"" class=""colorR"">				<span class=""a12 colorDG"">					Cable Length: 22.97 ft				</span>			</li>					<li style=""list-style:disc;list-style-position:inside;padding-left: 14px;text-indent: -16px;"" class=""colorR"">				<span class=""a12 colorDG"">					Connector on First End: 1 x SFP+ Network				</span>			</li>					<li style=""list-style:disc;list-style-position:inside;padding-left: 14px;text-indent: -16px;"" class=""colorR"">				<span class=""a12 colorDG"">					Connector on Second End: 1 x SFP+  Network				</span>			</li>					<li style=""list-style:disc;list-style-position:inside;padding-left: 14px;text-indent: -16px;"" class=""colorR"">				<span class=""a12 colorDG"">					Features: Active				</span>			</li>					<li style=""list-style:disc;list-style-position:inside;padding-left: 14px;text-indent: -16px;"" class=""colorR"">				<span class=""a12 colorDG"">					Device Supported: Network Device				</span>			</li>					<li style=""list-style:disc;list-style-position:inside;padding-left: 14px;text-indent: -16px;"" class=""colorR"">				<span class=""a12 colorDG"">					Compatibility: Cisco 2000 Series Nexus Switches:<br>  N2K-C2248TP-1GE 2C% N2KC2224TP-1GE 2C% N7K-M132XP-12 2C% N7K-M132XP-12L 				</span>			</li>					<li style=""list-style:disc;list-style-position:inside;padding-left: 14px;text-indent: -16px;"" class=""colorR"">				<span class=""a12 colorDG"">					Limited Warranty: 3 Year				</span>			</li>				<br><span class=""a14 b colorDG"">Marketing Information</span>	<span class=""padT5 a12 colorDG"">		Array provides high quality transceiver and network cable (GBIC2C% SFP2C% XFP2C% XENPAK2C% and SFP+) &nbsp;</span></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div><span class=""padT5 a12 colorDG"">	</span></div></div><span class=""padT5 a12 colorDG"">	</span></div></div><span class=""padT5 a12 colorDG"">	</span></div></div><span class=""padT5 a12 colorDG"">	</span></div></div><span class=""padT5 a12 colorDG"">	</span></div></div><span class=""padT5 a12 colorDG"">	</span></div></div><span class=""padT5 a12 colorDG"">	</span></div></div><span class=""padT5 a12 colorDG"">	</span></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div><span class=""padT5 a12 colorDG"">	</span></div></divundefined<div>",,Array Cisco ACU7M Compat Twinaxial Cable,T,F,F,,T,,F,,,,,F,T,4006 Revenue : Hardware,,arraycu7m.media.cable.01.jpg,arraycu7m_thumb.jpg,,,,,,,,F,,,,,,,F,F,Allow back orders but display out-of-stock message,,,Cisco SFP-H10GB-ACU7M Compat Twinaxial Cable,,,,,,Array- Cisco SFP-H10GB-ACU7M Compat Twinaxial Cable,,,Each,,,,,,,REORDER_POINT,,Each,Array- Cisco SFP-H10GB-ACU7M Compat Twinaxial Cable,,,F,,,F,,F,,Each,,HEADQUARTERS : AMERICASHEADQUARTERS : ANZHEADQUARTERS : ASIAHEADQUARTERS : EMEA,"<div class=""item active easyzoom easyzoom--overlay"" data-slide-number=""0""><a href=""/core/media/media.nl?id=9530&c=TSTDRV1373481&h=d2e2c8b2e6199ec46a10""><img src=""/core/media/media.nl?id=9530&c=TSTDRV1373481&h=d2e2c8b2e6199ec46a10"" class=""img-responsive""></a></div>",,,,,"Array Cisco ACU7M Compat Twinaxial Cable Array Cisco ACU7M Compat Twinaxial Cable <span class=""padT5 a12 colorDG"">		<p><span class=""padT5 a12 colorDG"">Array provides high quality transceiver and network cable (GBIC2C% SFP2C% XFP2C% XENPAK2C% and SFP+) &nbsp;</span></p><p><span class=""padT5 a12 colorDG"">Cisco SFP-H10GB-ACU7M Compat Twinaxial Cable</span></p></span> null",T,F,F,F,,"<div class=""col-xs-2 thumbnail""><a id=""carousel-selector-0"" class=""selected""><img src=""/core/media/media.nl?id=9531&c=TSTDRV1373481&h=a3e67fd9cc052bb44220""></a></div>",,S1-Taxable,8999.5,,Array-Twinaxial-Cable,F,F,,,,,,,Array,"<span class=""padT5 a12 colorDG"">		<p><span class=""padT5 a12 colorDG"">Array provides high quality transceiver and network cable (GBIC2C% SFP2C% XFP2C% XENPAK2C% and SFP+) &nbsp;</span></p><p><span class=""padT5 a12 colorDG"">Cisco SFP-H10GB-ACU7M Compat Twinaxial Cable</span></p></span>",Array Cisco ACU7M Compat Twinaxial Cable
858,Array Cisco CU5M Compat Twinaxial Cable,,,,,1412 Inventory Asset,F,,5100 COGS : Cost of Goods Sold,By Line Quantity,,01-Consulting,,<a href='#' onclick='manualCheckCommodityCode()'>Click this link to check Commodity Code</a>,F,AVG,Custom Inventory Part Form,,,Prof. Services,"<div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id=""""><div style=""clear: both; height: auto; border: 0px solid red;"" id=""prodNavContent""><div id="""">		<span class=""a14 b colorDG"">Main Features</span>	<p>	</p>					<li style=""list-style:disc;list-style-position:inside;padding-left: 14px;text-indent: -16px;"" class=""colorR"">				<span class=""a12 colorDG"">					Cable Type: Twinaxial				</span>			</li>					<li style=""list-style:disc;list-style-position:inside;padding-left: 14px;text-indent: -16px;"" class=""colorR"">				<span class=""a12 colorDG"">					Cable Length: 16.40 ft				</span>			</li>					<li style=""list-style:disc;list-style-position:inside;padding-left: 14px;text-indent: -16px;"" class=""colorR"">				<span class=""a12 colorDG"">					Connector on First End: 1 x SFP+ Network				</span>			</li>					<li style=""list-style:disc;list-style-position:inside;padding-left: 14px;text-indent: -16px;"" class=""colorR"">				<span class=""a12 colorDG"">					Connector on Second End: 1 x SFP+  Network				</span>			</li>					<li style=""list-style:disc;list-style-position:inside;padding-left: 14px;text-indent: -16px;"" class=""colorR"">				<span class=""a12 colorDG"">					Features: Passive				</span>			</li>					<li style=""list-style:disc;list-style-position:inside;padding-left: 14px;text-indent: -16px;"" class=""colorR"">				<span class=""a12 colorDG"">					Device Supported: Network Device				</span>			</li>					<li style=""list-style:disc;list-style-position:inside;padding-left: 14px;text-indent: -16px;"" class=""colorR"">				<span class=""a12 colorDG"">					Limited Warranty: 3 Year				</span>			</li>			<BR>						<br>							<div class=""padB5""><hr></div>	<span class=""a14 b colorDG"">Marketing Information</span>	<span class=""padT5 a12 colorDG"">		Array provides high quality transceiver and network cable (GBIC2C% SFP2C% XFP2C% XENPAK2C% and SFP+) 100% Compatible &nbsp;</span></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div><span class=""padT5 a12 colorDG"">	</span></div></div><span class=""padT5 a12 colorDG"">	</span></div></div><span class=""padT5 a12 colorDG"">	</span></div></div><span class=""padT5 a12 colorDG"">	</span></div></div><span class=""padT5 a12 colorDG"">	</span></div></div><span class=""padT5 a12 colorDG"">	</span></div></div><span class=""padT5 a12 colorDG"">	</span></div></div><span class=""padT5 a12 colorDG"">	</span></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div><span class=""padT5 a12 colorDG"">	</span></div></div></div></div>",,Array Cisco CU5M Compat Twinaxial Cable,T,F,F,,T,,F,,,,,F,T,4006 Revenue : Hardware,,arraycum5.media.cable.01.jpg,arraycum5_thumb.jpg,,,,,,,,F,,,,,,,F,F,Allow back orders but display out-of-stock message,,,Array Cisco SFP-H10GB-CU5M Compat Twinaxial Cable,,,,,,Array- Cisco SFP-H10GB-CU5M Compat Twinaxial Cable,,,Each,,,,,,,REORDER_POINT,,Each,Array- Cisco SFP-H10GB-CU5M Compat Twinaxial Cable,,,F,,,F,,F,,Each,,HEADQUARTERS : AMERICASHEADQUARTERS : ANZHEADQUARTERS : ASIAHEADQUARTERS : EMEA,"<div class=""item active easyzoom easyzoom--overlay"" data-slide-number=""0""><a href=""/core/media/media.nl?id=9529&c=TSTDRV1373481&h=b3d1631cd425b0464ca3""><img src=""/core/media/media.nl?id=9529&c=TSTDRV1373481&h=b3d1631cd425b0464ca3"" class=""img-responsive""></a></div>",,,,,"Array Cisco CU5M Compat Twinaxial Cable Array Cisco CU5M Compat Twinaxial Cable <span class=""padT5 a12 colorDG""><p><span class=""padT5 a12 colorDG"">Array provides high quality transceiver and network cable (GBIC2C% SFP2C% XFP2C% XENPAK2C% and SFP+) 100% Compatible&nbsp;</span></p></span> null",T,F,F,F,,"<div class=""col-xs-2 thumbnail""><a id=""carousel-selector-0"" class=""selected""><img src=""/core/media/media.nl?id=12076&c=TSTDRV1373481&h=e76189b27cf37d68deef""></a></div>",,S1-Taxable,9999.5,,Array-Twinaxial-CU5M-Cable,F,F,,,,,,,Array,"<span class=""padT5 a12 colorDG""><p><span class=""padT5 a12 colorDG"">Array provides high quality transceiver and network cable (GBIC2C% SFP2C% XFP2C% XENPAK2C% and SFP+) 100% Compatible&nbsp;</span></p></span>",Array Cisco CU5M Compat Twinaxial Cable
348,Brother All-in-One Printer/Copier/Scanner/Fax,,,,,,F,,,,T,01-Consulting,,<a href='#' onclick='manualCheckCommodityCode()'>Click this link to check Commodity Code</a>,,,Dilley SRP Non-Inventory Part Form,,,Prof. Services,,,Brother All-in-One Printer/Copier/Scanner/Fax,,,,,,,,6890 General and Administrative : Other Expense : Miscellaneous Expense,,F,,F,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Brother multi-function printer does it all2C% so you have to do less.,1250,,,,,,,,,,,,,,,,,,,,,,,,HEADQUARTERS : AMERICASHEADQUARTERS : ANZHEADQUARTERS : ASIAHEADQUARTERS : EMEAHEADQUARTERS : Shared Services,,,,,,Brother All-in-One Printer/Copier/Scanner/Fax null null null,F,F,F,F,,,,S1-Taxable,,,,,,,,,,,,,,
870,Business Insurance,,,,,,F,,,,F,,,,,,Dilley SRP Non-Inventory Part Form,,,,,,,,,,,,,,6890 General and Administrative : Other Expense : Miscellaneous Expense,,,,F,T,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEADQUARTERS : AMERICASHEADQUARTERS : ANZHEADQUARTERS : ASIAHEADQUARTERS : EMEAHEADQUARTERS : Shared Services,,,,,,,F,F,F,F,,,,S1-Taxable,,,,,,,,,,,,,,
